MSSubClass,LotFrontage,LotArea,LotShape,LandContour,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,MasVnrArea,ExterQual,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,PoolQC,Fence,Alley_Grvl,MiscFeature_Shed,GarageType_Attchd,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Electrical_FuseA,Electrical_FuseF,Electrical_SBrkr,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition1_Norm,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2Story,HouseStyle_SFoyer,RoofStyle_Gable,RoofStyle_Hip,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Normal,SaleCondition_Partial
60,65.0,8450,4,4,3,7,5,2003,2003,7,196.0,4,4,3,1,6,706,150,856,5,1,856,854,1710,1,2,1,3,1,4,8,0,0,2003.0,2,2,548,3,3,2,0,61,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
20,80.0,9600,4,4,3,6,8,1976,1976,7,0.0,3,4,3,4,5,978,284,1262,5,1,1262,0,1262,0,2,0,3,1,3,6,1,3,1976.0,2,2,460,3,3,2,298,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
60,68.0,11250,3,4,3,7,5,2001,2002,7,162.0,4,4,3,2,6,486,434,920,5,1,920,866,1786,1,2,1,3,1,4,6,1,3,2001.0,2,2,608,3,3,2,0,42,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
70,60.0,9550,3,4,3,7,5,1915,1970,7,0.0,3,3,4,1,5,216,540,756,4,1,961,756,1717,1,1,0,3,1,4,7,1,4,1998.0,1,3,642,3,3,2,0,35,272,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
60,84.0,14260,3,4,3,8,5,2000,2000,7,350.0,4,4,3,3,6,655,490,1145,5,1,1145,1053,2198,1,2,1,4,1,4,9,1,3,2000.0,2,3,836,3,3,2,192,84,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
50,85.0,14115,3,4,3,5,5,1993,1995,7,0.0,3,4,3,1,6,732,64,796,5,1,796,566,1362,1,1,1,1,1,3,5,0,0,1993.0,1,2,480,3,3,2,40,30,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
20,75.0,10084,4,4,3,8,5,2004,2005,7,186.0,4,5,3,3,6,1369,317,1686,5,1,1694,0,1694,1,2,0,3,1,4,7,1,4,2004.0,2,2,636,3,3,2,255,57,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
60,69.0,10382,3,4,3,7,6,1973,1973,7,240.0,3,4,3,2,5,859,216,1107,5,1,1107,983,2090,1,2,1,3,1,3,7,2,3,1973.0,2,2,484,3,3,2,235,204,228,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
50,51.0,6120,4,4,3,7,5,1931,1950,7,0.0,3,3,3,1,1,0,952,952,4,1,1022,752,1774,0,2,0,2,2,3,8,2,3,1931.0,1,2,468,2,3,2,90,0,205,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
190,50.0,7420,4,4,3,5,6,1939,1950,7,0.0,3,3,3,1,6,851,140,991,5,1,1077,0,1077,1,1,0,2,2,3,5,2,3,1939.0,2,1,205,4,3,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
20,70.0,11200,4,4,3,5,5,1965,1965,7,0.0,3,3,3,1,3,906,134,1040,5,1,1040,0,1040,1,1,0,3,1,3,5,0,0,1965.0,1,1,384,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
60,85.0,11924,3,4,3,9,5,2005,2006,7,286.0,5,5,3,1,6,998,177,1175,5,1,1182,1142,2324,1,3,0,4,1,5,11,2,4,2005.0,3,3,736,3,3,2,147,21,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
20,69.0,12968,2,4,3,5,6,1962,1962,7,0.0,3,3,3,1,5,737,175,912,3,1,912,0,912,1,1,0,2,1,3,4,0,0,1962.0,1,1,352,3,3,2,140,0,0,176,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
20,91.0,10652,3,4,3,7,5,2006,2007,7,306.0,4,4,3,3,1,0,1494,1494,5,1,1494,0,1494,0,2,0,3,1,4,7,1,4,2006.0,2,3,840,3,3,2,160,33,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
20,69.0,10920,3,4,3,6,5,1960,1960,7,212.0,3,3,3,1,4,733,520,1253,3,1,1253,0,1253,1,1,1,2,1,3,5,1,2,1960.0,2,1,352,3,3,2,0,213,176,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
45,51.0,6120,4,4,3,7,8,1929,2001,7,0.0,3,3,3,1,1,0,832,832,5,1,854,0,854,0,1,0,2,1,3,5,0,0,1991.0,1,2,576,3,3,2,48,112,0,0,0,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
20,69.0,11241,3,4,3,6,7,1970,1970,7,180.0,3,3,3,1,5,578,426,1004,5,1,1004,0,1004,1,1,0,2,1,3,5,1,3,1970.0,3,2,480,3,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
90,72.0,10791,4,4,3,4,5,1967,1967,7,0.0,3,0,0,0,0,0,0,0,3,1,1296,0,1296,0,2,0,2,2,3,6,0,0,1967.0,1,2,516,3,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
20,66.0,13695,4,4,3,5,5,2004,2004,7,0.0,3,3,3,1,6,646,468,1114,5,1,1114,0,1114,1,1,1,3,1,4,6,0,0,2004.0,1,2,576,3,3,2,0,102,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
20,70.0,7560,4,4,3,5,6,1958,1965,7,0.0,3,3,3,1,2,504,525,1029,3,1,1339,0,1339,0,1,0,3,1,3,6,0,0,1958.0,1,1,294,3,3,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
60,101.0,14215,3,4,3,8,5,2005,2006,7,380.0,4,5,3,3,1,0,1158,1158,5,1,1158,1218,2376,0,3,1,4,1,4,9,1,4,2005.0,2,3,853,3,3,2,240,154,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
45,57.0,7449,4,3,3,7,7,1930,1950,7,0.0,3,3,3,1,1,0,637,637,5,1,1108,0,1108,0,1,0,3,1,4,6,1,4,1930.0,1,1,280,3,3,0,0,0,205,0,0,0,4,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
20,75.0,9742,4,4,3,8,5,2002,2002,7,281.0,4,4,3,1,1,0,1777,1777,5,1,1795,0,1795,0,2,0,3,1,4,7,1,4,2002.0,2,2,534,3,3,2,171,159,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
